timeStamp: 538566618212847616, state: Initial, ppg0: 313578, ppg1: 399716, ppg2: 326416, ambient: 5376
timeStamp: 538566618220273216, state: Initial, ppg0: 313779, ppg1: 399894, ppg2: 326635, ambient: 5148
timeStamp: 538566618227698816, state: Initial, ppg0: 313796, ppg1: 399981, ppg2: 326705, ambient: 5225
timeStamp: 538566618235124416, state: Initial, ppg0: 313841, ppg1: 400130, ppg2: 326773, ambient: 5352
timeStamp: 538566618242550016, state: Initial, ppg0: 313996, ppg1: 400255, ppg2: 326873, ambient: 5347
timeStamp: 538566618249975616, state: Initial, ppg0: 314080, ppg1: 400398, ppg2: 327023, ambient: 5351
timeStamp: 538566618257401152, state: Initial, ppg0: 314197, ppg1: 400480, ppg2: 327143, ambient: 5303
timeStamp: 538566618264826752, state: Initial, ppg0: 314194, ppg1: 400565, ppg2: 327245, ambient: 5344
timeStamp: 538566618272252352, state: Initial, ppg0: 314069, ppg1: 400514, ppg2: 327287, ambient: 5272
timeStamp: 538566618279677952, state: Initial, ppg0: 314077, ppg1: 400561, ppg2: 327289, ambient: 5246
timeStamp: 538566618287103552, state: Initial, ppg0: 314127, ppg1: 400427, ppg2: 327146, ambient: 5323
timeStamp: 538566618294529152, state: Initial, ppg0: 314086, ppg1: 400375, ppg2: 327061, ambient: 5269
timeStamp: 538566618301954752, state: Initial, ppg0: 314103, ppg1: 400298, ppg2: 326914, ambient: 5380
timeStamp: 538566618309380352, state: Initial, ppg0: 313976, ppg1: 400094, ppg2: 326732, ambient: 5349
timeStamp: 538566618316805952, state: Initial, ppg0: 313849, ppg1: 399776, ppg2: 326333, ambient: 5402
timeStamp: 538566618324231488, state: Initial, ppg0: 313628, ppg1: 399521, ppg2: 326030, ambient: 5452
timeStamp: 538566618331657088, state: Initial, ppg0: 313441, ppg1: 399169, ppg2: 325716, ambient: 5366
timeStamp: 538566618339082688, state: Initial, ppg0: 313210, ppg1: 398888, ppg2: 325495, ambient: 5311
timeStamp: 538566618346508288, state: Initial, ppg0: 312972, ppg1: 398540, ppg2: 325040, ambient: 5370
timeStamp: 538566618353930240, state: Initial, ppg0: 312519, ppg1: 398178, ppg2: 324533, ambient: 5385
timeStamp: 538566618361352192, state: Initial, ppg0: 312486, ppg1: 397853, ppg2: 324283, ambient: 5357
timeStamp: 538566618368774144, state: Initial, ppg0: 312334, ppg1: 397526, ppg2: 324090, ambient: 5366
timeStamp: 538566618376196096, state: Initial, ppg0: 312197, ppg1: 397193, ppg2: 323892, ambient: 5324
timeStamp: 538566618383618048, state: Initial, ppg0: 312130, ppg1: 396887, ppg2: 323616, ambient: 5376
timeStamp: 538566618391040000, state: Initial, ppg0: 311930, ppg1: 396613, ppg2: 323433, ambient: 5316
timeStamp: 538566618398461952, state: Initial, ppg0: 311788, ppg1: 396472, ppg2: 323166, ambient: 5315
timeStamp: 538566618405883904, state: Initial, ppg0: 311726, ppg1: 396337, ppg2: 323088, ambient: 5465
timeStamp: 538566618413305856, state: Initial, ppg0: 311710, ppg1: 396216, ppg2: 322865, ambient: 5451
timeStamp: 538566618420727808, state: Initial, ppg0: 311635, ppg1: 396045, ppg2: 322723, ambient: 5344
timeStamp: 538566618428149760, state: Initial, ppg0: 311493, ppg1: 395833, ppg2: 322559, ambient: 5446
timeStamp: 538566618435571712, state: Initial, ppg0: 311331, ppg1: 395594, ppg2: 322366, ambient: 5445
timeStamp: 538566618442993664, state: Initial, ppg0: 311312, ppg1: 395477, ppg2: 322236, ambient: 5370
timeStamp: 538566618450415616, state: Initial, ppg0: 311308, ppg1: 395361, ppg2: 322187, ambient: 5333
timeStamp: 538566618457837568, state: Initial, ppg0: 311185, ppg1: 395169, ppg2: 322046, ambient: 5338
timeStamp: 538566618465259520, state: Initial, ppg0: 311063, ppg1: 395117, ppg2: 321933, ambient: 5357
timeStamp: 538566618472681472, state: Initial, ppg0: 311079, ppg1: 395106, ppg2: 321880, ambient: 5412
timeStamp: 538566618480103424, state: Initial, ppg0: 311083, ppg1: 395143, ppg2: 321867, ambient: 5391
timeStamp: 538566618487523584, state: Initial, ppg0: 311086, ppg1: 394738, ppg2: 321844, ambient: 5387
timeStamp: 538566618494943744, state: Initial, ppg0: 311078, ppg1: 394863, ppg2: 321818, ambient: 5421
